time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
6716,16069,0,0,39,1
6717,16069,0,0,39,1
6718,16069,0,0,39,1
6719,16069,0,0,39,1
6720,16069,0,0,39,1
6721,16069,0,0,39,1
6722,16069,0,0,39,1
6723,16069,0,0,39,1
6724,16069,0,0,39,1
6725,16069,0,0,39,1
6726,16069,0,0,39,1
6727,16069,0,0,39,1
6728,16069,0,0,39,1
6729,16069,0,0,39,1
6730,16069,0,0,39,1
6731,16069,0,0,39,1
6732,16069,0,0,39,1
6733,16069,0,0,39,1
6734,16069,0,0,39,1
6735,16069,0,0,39,1
6736,16069,0,0,39,1
6737,16069,0,0,39,1
6738,16069,0,0,39,1
6739,16069,0,0,39,1
6740,16069,0,0,39,1
6741,16069,0,0,39,1
6742,16069,0,0,39,1
6743,16069,0,0,39,1
6744,16069,0,0,39,1
6745,16069,0,0,39,1
6746,16069,0,0,39,1
6747,16069,0,0,39,1
6748,16069,0,0,39,1
6749,16069,0,0,39,1
6750,16069,0,0,39,1
6751,16069,0,0,39,1
6752,16069,0,0,39,1
6753,16069,0,0,39,1
6754,16069,0,0,39,1
6755,16069,0,0,39,1
6756,16069,0,0,39,1
6757,16069,0,0,39,1
6758,16069,0,0,39,1
6759,16069,0,0,39,1
6760,16069,0,0,39,1
6761,16069,0,0,39,1
6762,16069,0,0,39,1
6763,16069,0,0,39,1
6764,16069,0,0,39,1
6765,16069,0,0,39,1
6766,16069,0,0,39,1
6767,16069,0,0,39,1
6768,16069,0,0,39,1
6769,16069,0,0,39,1
6770,16069,0,0,39,1
6771,16069,0,0,39,1
6772,16069,0,0,39,1
6773,16069,0,0,39,1
6774,16069,0,0,39,1
6775,16069,0,0,39,1
6776,16069,0,0,39,1
6777,16069,0,0,39,1
6778,16069,0,0,39,1
6779,16069,0,0,39,1
